Team,# of pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ %,Tkld,Tkld %,Carries,TotDist,PrgDist,PrgC,1/third,CPA,Mis,Dis,Rec,PrgR,year
Arsenal,23,50.2,11,6221,637,1826,2521,1924,354,6221,204,95,46.6,78,38.2,3412,17988,9351,205,121,89,129,124,4103,445,2024/2025
Aston Villa,21,50.6,11,6237,698,2071,2658,1571,253,6237,202,98,48.5,78,38.6,3736,19505,10276,198,135,54,140,125,4193,365,2024/2025
Bournemouth,23,44.3,11,5927,657,1826,2463,1716,284,5925,202,88,43.6,86,42.6,3161,18229,9612,205,133,67,152,95,3443,418,2024/2025
Brentford,20,47.1,11,6474,1067,2724,2378,1428,243,6472,172,65,37.8,89,51.7,3515,18695,9000,157,103,42,159,98,4014,381,2024/2025
Brighton,28,53.8,11,7025,823,2344,3005,1753,292,7025,248,88,35.5,135,54.4,4049,22325,12406,225,169,81,165,99,4717,489,2024/2025
Chelsea,23,54.5,11,7051,736,2391,3055,1665,284,7050,231,107,46.3,94,40.7,4017,21774,11591,244,129,78,138,91,4899,395,2024/2025
Crystal Palace,25,45.6,11,6308,733,2173,2736,1455,239,6307,141,54,38.3,78,55.3,3148,16018,8250,161,111,46,143,103,3760,393,2024/2025
Everton,22,39.3,11,5425,694,1955,2215,1329,232,5425,209,92,44,104,49.8,2633,14097,6762,141,95,43,141,115,3107,300,2024/2025
Fulham,21,53.5,11,7053,719,2218,2915,1986,305,7051,200,88,44,77,38.5,4405,21479,11080,240,181,79,150,88,4785,468,2024/2025
Ipswich Town,27,40.8,11,5532,842,2170,2172,1243,190,5532,166,83,50,71,42.8,2956,16101,7743,143,96,41,165,92,3308,284,2024/2025
Leicester City,22,47.7,11,6403,856,2340,2850,1289,208,6402,231,93,40.3,111,48.1,3603,18414,9138,181,104,42,164,115,3987,351,2024/2025
Liverpool,23,57.2,11,7485,765,2343,3423,1781,327,7483,180,89,49.4,77,42.8,4320,21374,10819,224,145,97,138,112,5311,456,2024/2025
Manchester City,21,63.9,11,8544,542,1725,3263,3623,511,8543,240,115,47.9,79,32.9,5392,30461,17120,411,267,153,123,115,6573,634,2024/2025
Manchester Utd,22,52.2,11,7131,720,2372,3142,1679,272,7130,196,86,43.9,94,48,4317,21802,10781,182,132,74,137,101,4827,440,2024/2025
Newcastle Utd,19,49,11,6399,758,2309,2562,1580,269,6397,171,72,42.1,73,42.7,3834,20198,9749,186,112,67,139,143,4129,424,2024/2025
Nott'ham Forest,23,42.1,11,5710,689,1877,2255,1658,269,5709,195,94,48.2,68,34.9,2752,15172,8362,211,132,69,159,99,3270,325,2024/2025
Southampton,28,56.6,11,7527,930,2752,3245,1578,233,7526,195,80,41,96,49.2,4371,22259,11800,219,148,58,129,113,5467,385,2024/2025
Tottenham,22,61.5,11,7641,630,2147,3143,2421,410,7641,261,100,38.3,138,52.9,4778,26310,13842,294,206,90,143,118,5271,604,2024/2025
West Ham,23,45.5,11,6211,806,2217,2633,1433,251,6209,230,106,46.1,93,40.4,3298,17344,8781,206,124,63,140,140,3859,363,2024/2025
Wolves,23,44.5,11,5815,866,2256,2490,1140,212,5815,201,97,48.3,74,36.8,3125,17845,9103,148,111,53,147,91,3583,289,2024/2025
Arsenal,25,58.2,38,26493,1974,6714,11407,8560,1480,26483,671,283,42.2,304,45.3,16297,81171,41510,821,575,327,525,375,18917,2088,2023/2024
Aston Villa,31,53.1,38,23058,2807,8170,9636,5459,1010,23054,757,345,45.6,315,41.6,14450,78599,41219,775,490,217,477,416,15823,1438,2023/2024
Bournemouth,30,44.4,38,20700,2486,6820,8469,5686,1033,20697,872,382,43.8,414,47.5,11015,66369,34635,709,513,240,637,386,11771,1296,2023/2024
Brentford,28,45.2,38,21227,2878,7944,8253,5210,982,21224,577,243,42.1,269,46.6,10970,56621,29411,505,363,156,556,271,12416,1276,2023/2024
Brighton,30,59.8,38,29112,3197,9449,13090,6766,1081,29106,715,297,41.5,322,45,19020,92960,48884,864,584,269,579,342,21577,1767,2023/2024
Burnley,31,47.4,38,22181,2907,8021,9196,5155,819,22178,699,300,42.9,329,47.1,12244,66914,35421,727,460,240,517,296,13779,1162,2023/2024
Chelsea,32,58.6,38,27725,3035,9367,12068,6558,1039,27713,869,398,45.8,365,42,16624,84615,44082,873,543,291,604,370,19899,1600,2023/2024
Crystal Palace,26,42.3,38,21367,2349,7237,9279,5077,797,21363,737,341,46.3,320,43.4,10943,55546,26838,506,383,170,606,426,12811,1161,2023/2024
Everton,26,40.8,38,20053,2568,6792,8180,5283,809,20050,564,250,44.3,267,47.3,9770,52160,25904,495,389,127,560,320,11254,1119,2023/2024
Fulham,25,50.6,38,24318,2792,8619,10359,5568,849,24316,550,271,49.3,232,42.2,13883,72675,36777,670,508,151,520,325,16183,1452,2023/2024
Liverpool,30,61.3,38,28764,2193,7390,13756,7869,1422,28755,737,331,44.9,331,44.9,17894,92424,48244,924,694,295,574,407,20230,2091,2023/2024
Luton Town,28,42.4,38,19656,2630,7028,7906,4964,780,19651,771,354,45.9,331,42.9,10070,59990,29813,675,480,169,580,385,10911,1094,2023/2024
Manchester City,25,65.2,38,31414,2162,7012,14348,10260,1466,31404,731,377,51.6,282,38.6,20210,105397,58071,1127,867,415,441,356,24343,2032,2023/2024
Manchester Utd,31,50.6,38,23997,2938,8197,9856,6145,1025,23990,697,311,44.6,303,43.5,13976,75395,39607,759,523,275,484,342,15594,1467,2023/2024
Newcastle Utd,32,52.2,38,24004,2447,8084,10144,6004,1094,23996,730,355,48.6,288,39.5,13649,73443,36585,737,507,243,506,400,15994,1545,2023/2024
Nott'ham Forest,33,40.6,38,20118,2495,7340,8310,4686,785,20117,603,275,45.6,268,44.4,10216,54782,29231,604,396,156,527,286,11779,1122,2023/2024
Sheffield Utd,35,35.8,38,17940,2814,7150,7140,3830,646,17935,578,250,43.3,285,49.3,8313,43259,20339,343,287,127,489,323,9445,874,2023/2024
Tottenham,29,61.6,38,28529,2791,8519,12260,8011,1316,28527,812,359,44.2,363,44.7,18081,92767,46593,957,634,349,559,375,20481,2097,2023/2024
West Ham,26,41.1,38,20875,2605,7301,9100,4692,750,20869,745,353,47.4,321,43.1,11184,60658,28802,556,369,168,515,397,12459,1192,2023/2024
Wolves,27,48.9,38,23485,2823,8674,10262,4804,739,23481,823,415,50.4,324,39.4,13056,71348,36731,671,519,168,536,389,15350,1163,2023/2024
Arsenal,26,59.3,38,25909,1994,6632,11451,8015,1296,25905,751,351,46.7,290,38.6,15924,84012,44202,824,583,281,526,378,18101,2024,2022/2023
Aston Villa,26,49.3,38,21500,2783,7912,9077,4705,746,21495,682,293,43,279,40.9,12295,65580,33150,637,434,174,565,371,13587,1227,2022/2023
Bournemouth,31,40.4,38,19950,2934,8004,7933,4256,699,19950,743,329,44.3,344,46.3,10340,55360,27431,504,389,144,589,367,11617,986,2022/2023
Brentford,25,43.8,38,19749,2632,7290,7803,4835,827,19741,600,267,44.5,248,41.3,10409,49018,23993,392,300,102,520,336,11203,1121,2022/2023
Brighton,29,60.2,38,26728,2471,7844,12213,6873,1102,26722,726,345,47.5,279,38.4,16331,83718,43965,809,547,250,558,324,18991,1828,2022/2023
Chelsea,32,58.7,38,27166,2564,8461,12057,6850,958,27163,838,380,45.3,352,42,16538,83509,43596,829,622,216,568,381,19065,1729,2022/2023
Crystal Palace,26,46.3,38,21713,2580,7668,9275,4991,766,21710,784,367,46.8,314,40.1,11687,60301,30015,556,393,206,643,457,13304,1238,2022/2023
Everton,28,42.8,38,20233,2527,7219,8418,4830,742,20229,674,310,46,296,43.9,10479,56737,27858,500,391,137,605,300,11708,1042,2022/2023
Fulham,29,48.8,38,22162,2563,7462,9525,5416,758,22153,607,281,46.3,238,39.2,12252,68216,35374,663,474,124,535,379,13848,1316,2022/2023
Leeds United,29,47,38,21642,2125,6971,9290,5587,796,21639,688,268,39,328,47.7,11342,55027,27060,555,379,146,602,421,12329,1418,2022/2023
Leicester City,28,47.7,38,23124,2681,8409,10293,4641,688,23118,623,294,47.2,245,39.3,12503,63356,31619,580,363,175,548,313,14797,1294,2022/2023
Liverpool,28,60.8,38,28398,2310,8119,13329,7149,1252,28394,693,323,46.6,281,40.5,17148,82470,41527,719,569,234,584,413,19921,1974,2022/2023
Manchester City,24,64.7,38,29895,2170,7410,14372,8301,1277,29885,704,336,47.7,239,33.9,19122,104099,56216,988,754,279,406,298,22992,2054,2022/2023
Manchester Utd,26,53.7,38,24847,2639,8093,10389,6569,1036,24844,730,317,43.4,338,46.3,14245,70351,37126,711,515,239,497,293,16447,1578,2022/2023
Newcastle Utd,27,52.3,38,22106,2088,6757,9053,6516,1161,22100,784,350,44.6,322,41.1,12023,64186,32987,695,493,228,576,363,13803,1599,2022/2023
