Date,HomeTeam,AwayTeam,FTHG,FTAG,Attendance
11/08/2014,Carlisle United,Derby,0.0,2.0,"3,481"
12/08/2014,Birmingham,Cambridge Utd,3.0,1.0,"9,816"
12/08/2014,Blackburn,Scunthorpe Utd,0.0,1.0,"5,352"
12/08/2014,Bolton,Bury,3.0,2.0,"9,249"
12/08/2014,Brighton,Cheltenham,2.0,0.0,"6,595"
12/08/2014,Burton Albion,Wigan,2.0,1.0,"2,602"
12/08/2014,Charlton,Colchester Utd,4.0,0.0,"5,752"
12/08/2014,Chesterfield,Huddersfield,3.0,5.0,"4,569"
12/08/2014,Crawley Town,Ipswich,1.0,0.0,"3,043"
12/08/2014,Dag & Red,Brentford,6.0,6.0,"1,576"
12/08/2014,Exeter City,Bournemouth,0.0,2.0,"2,648"
12/08/2014,Leeds,Acc'ton Stanley,2.0,1.0,"13,407"
12/08/2014,Luton,Swindon Town,1.0,2.0,"4,410"
12/08/2014,Morecambe,Bradford,0.0,1.0,"2,395"
12/08/2014,Oldham Athletic,Middlesbrough,0.0,3.0,"4,311"
12/08/2014,Portsmouth,P'borough Utd,1.0,0.0,"7,726"
12/08/2014,Reading,Newport County,3.0,1.0,"6,459"
12/08/2014,Shrewsbury,Blackpool,1.0,0.0,"4,524"
12/08/2014,Stevenage,Watford,0.0,1.0,"3,989"
12/08/2014,Tranmere Rovers,Nott'm Forest,0.0,1.0,"4,374"
12/08/2014,Wolves,Northampton,2.0,3.0,"6,171"
13/08/2014,Coventry,Cardiff,1.0,2.0,"1,382"
13/08/2014,Sheffield United,Mansfield Town,2.0,1.0,"7,929"
26/08/2014,Bournemouth,Northampton,3.0,0.0,"5,250"
26/08/2014,Brentford,Fulham,0.0,1.0,"7,563"
26/08/2014,Burnley,Sheffield Weds,0.0,1.0,"4,979"
26/08/2014,Crewe Alexandra,Bolton,2.0,3.0,"2,642"
26/08/2014,Derby,Charlton,1.0,0.0,"16,367"
26/08/2014,Gillingham,Newcastle,0.0,1.0,"10,204"
26/08/2014,Huddersfield,Nott'm Forest,0.0,2.0,"6,509"
26/08/2014,Leicester,Shrewsbury,0.0,1.0,"8,017"
26/08/2014,MK Dons,Man United,4.0,0.0,"26,969"
26/08/2014,Middlesbrough,Preston,3.0,1.0,"10,727"
26/08/2014,Millwall,Southampton,0.0,2.0,"6,014"
26/08/2014,Norwich,Crawley Town,3.0,1.0,"14,414"
26/08/2014,Port Vale,Cardiff,2.0,3.0,"4,390"
26/08/2014,Scunthorpe Utd,Reading,0.0,1.0,"2,657"
26/08/2014,Swansea,Rotherham Utd,1.0,0.0,"12,987"
26/08/2014,Swindon Town,Brighton,2.0,4.0,"5,414"
26/08/2014,Walsall,Crystal Palace,0.0,3.0,"3,987"
26/08/2014,Watford,Doncaster,1.0,2.0,"7,318"
26/08/2014,West Brom,Oxford United,1.0,1.0,"10,939"
26/08/2014,West Ham,Sheffield United,1.0,1.0,"28,930"
27/08/2014,Aston Villa,Leyton Orient,0.0,1.0,"17,918"
27/08/2014,Birmingham,Sunderland,0.0,3.0,"11,245"
27/08/2014,Bradford,Leeds,2.0,1.0,"18,750"
27/08/2014,Burton Albion,QPR,1.0,0.0,"3,999"
27/08/2014,Stoke,Portsmouth,3.0,0.0,"10,312"
23/09/2014,Arsenal,Southampton,1.0,2.0,"56,921"
23/09/2014,Cardiff,Bournemouth,0.0,3.0,"6,491"
23/09/2014,Derby,Reading,2.0,0.0,"18,409"
23/09/2014,Fulham,Doncaster,2.0,1.0,"8,070"
23/09/2014,Leyton Orient,Sheffield United,0.0,1.0,"3,223"
23/09/2014,Liverpool,Middlesbrough,2.0,2.0,"41,857"
23/09/2014,MK Dons,Bradford,2.0,0.0,"5,707"
23/09/2014,Shrewsbury,Norwich,1.0,0.0,"6,187"
23/09/2014,Sunderland,Stoke,1.0,2.0,"17,353"
23/09/2014,Swansea,Everton,3.0,0.0,"20,397"
24/09/2014,Burton Albion,Brighton,0.0,3.0,"3,253"
24/09/2014,Chelsea,Bolton,2.0,1.0,"40,988"
24/09/2014,Crystal Palace,Newcastle,2.0,3.0,"13,773"
