Date,HomeTeam,AwayTeam,FTHG,FTAG,Attendance
12/09/2000,Sparta Prague,Arsenal,0,1,
13/09/2000,Barcelona,Leeds,4,0,
13/09/2000,Man United,Anderlecht,5,1,
19/09/2000,Dynamo Kyiv,Man United,0,0,
19/09/2000,Leeds,Milan,1,0,
20/09/2000,Arsenal,Shakhtar Donetsk,3,2,
26/09/2000,Leeds,Beşiktaş,6,0,
26/09/2000,PSV Eindhoven,Man United,3,1,
27/09/2000,Arsenal,Lazio,2,0,
17/10/2000,Lazio,Arsenal,1,1,
18/10/2000,Beşiktaş,Leeds,0,0,
18/10/2000,Man United,PSV Eindhoven,3,1,
24/10/2000,Anderlecht,Man United,2,1,
24/10/2000,Leeds,Barcelona,1,1,
25/10/2000,Arsenal,Sparta Prague,4,2,
07/11/2000,Shakhtar Donetsk,Arsenal,3,0,
08/11/2000,Man United,Dynamo Kyiv,1,0,
08/11/2000,Milan,Leeds,1,1,
21/11/2000,Man United,Panathinaikos,3,1,
22/11/2000,Leeds,Real Madrid,0,2,
22/11/2000,Spartak Moscow,Arsenal,4,1,
05/12/2000,Arsenal,Bayern Munich,2,2,
05/12/2000,Lazio,Leeds,0,1,
06/12/2000,Sturm Graz,Man United,0,2,
13/02/2001,Leeds,Anderlecht,2,1,
13/02/2001,Lyon,Arsenal,0,1,
14/02/2001,Valencia,Man United,0,0,
20/02/2001,Man United,Valencia,1,1,
21/02/2001,Anderlecht,Leeds,1,4,
21/02/2001,Arsenal,Lyon,1,1,
06/03/2001,Arsenal,Spartak Moscow,1,0,
06/03/2001,Real Madrid,Leeds,3,2,
07/03/2001,Panathinaikos,Man United,1,1,
13/03/2001,Man United,Sturm Graz,3,0,
14/03/2001,Bayern Munich,Arsenal,1,0,
14/03/2001,Leeds,Lazio,3,3,
03/04/2001,Man United,Bayern Munich,0,1,
04/04/2001,Arsenal,Valencia,2,1,
04/04/2001,Leeds,La Coruña,3,0,
17/04/2001,La Coruña,Leeds,2,0,
17/04/2001,Valencia,Arsenal,1,0,
18/04/2001,Bayern Munich,Man United,2,1,
02/05/2001,Leeds,Valencia,0,0,
08/05/2001,Valencia,Leeds,3,0,
11/09/2001,Liverpool,Boavista,1,1,
11/09/2001,Mallorca,Arsenal,1,0,
18/09/2001,Man United,Lille,1,0,
19/09/2001,Arsenal,Schalke 04,3,2,
19/09/2001,Dortmund,Liverpool,0,0,
25/09/2001,La Coruña,Man United,2,1,
26/09/2001,Liverpool,Dynamo Kyiv,1,0,
26/09/2001,Panathinaikos,Arsenal,1,0,
10/10/2001,Olympiacos,Man United,0,2,
16/10/2001,Arsenal,Panathinaikos,2,1,
16/10/2001,Dynamo Kyiv,Liverpool,1,2,
17/10/2001,Man United,La Coruña,2,3,
23/10/2001,Man United,Olympiacos,3,0,
24/10/2001,Arsenal,Mallorca,3,1,
24/10/2001,Boavista,Liverpool,1,1,
30/10/2001,Liverpool,Dortmund,2,0,
30/10/2001,Schalke 04,Arsenal,3,1,
31/10/2001,Lille,Man United,1,1,
20/11/2001,Bayern Munich,Man United,1,1,
