Date,HomeTeam,AwayTeam,FTHG,FTAG,Attendance
14/09/2000,Chelsea,St. Gallen,1.0,0.0,
14/09/2000,Leicester,Red Star,1.0,1.0,
14/09/2000,Rapid București,Liverpool,0.0,1.0,
28/09/2000,Liverpool,Rapid București,0.0,0.0,
28/09/2000,Red Star,Leicester,3.0,1.0,
28/09/2000,St. Gallen,Chelsea,2.0,0.0,
26/10/2000,Liverpool,Slovan Liberec,1.0,0.0,
09/11/2000,Slovan Liberec,Liverpool,2.0,3.0,
23/11/2000,Olympiacos,Liverpool,2.0,2.0,
07/12/2000,Liverpool,Olympiacos,2.0,0.0,
15/02/2001,Roma,Liverpool,0.0,2.0,
22/02/2001,Liverpool,Roma,0.0,1.0,
08/03/2001,Porto,Liverpool,0.0,0.0,
15/03/2001,Liverpool,Porto,2.0,0.0,
05/04/2001,Barcelona,Liverpool,0.0,0.0,
19/04/2001,Liverpool,Barcelona,1.0,0.0,
16/05/2001,Liverpool,Alavés,5.0,4.0,
20/09/2001,Aston Villa,Varaždin,2.0,3.0,
20/09/2001,Chelsea,Levski Sofia,3.0,0.0,
20/09/2001,Ipswich,Torpedo Moscow,1.0,1.0,
20/09/2001,Marítimo,Leeds,1.0,0.0,
27/09/2001,Leeds,Marítimo,3.0,0.0,
27/09/2001,Levski Sofia,Chelsea,0.0,2.0,
27/09/2001,Torpedo Moscow,Ipswich,1.0,2.0,
27/09/2001,Varaždin,Aston Villa,0.0,1.0,
18/10/2001,Hapoel Tel Aviv,Chelsea,2.0,0.0,
18/10/2001,Ipswich,Helsingborg,0.0,0.0,
18/10/2001,Leeds,Troyes,4.0,2.0,
01/11/2001,Chelsea,Hapoel Tel Aviv,1.0,1.0,
01/11/2001,Helsingborg,Ipswich,1.0,3.0,
01/11/2001,Troyes,Leeds,3.0,2.0,
22/11/2001,Grasshopper,Leeds,1.0,2.0,
22/11/2001,Ipswich,Inter,1.0,0.0,
06/12/2001,Inter,Ipswich,4.0,1.0,
06/12/2001,Leeds,Grasshopper,2.0,2.0,
21/02/2002,PSV Eindhoven,Leeds,0.0,0.0,
28/02/2002,Leeds,PSV Eindhoven,0.0,1.0,
19/09/2002,Blackburn,CSKA Sofia,1.0,1.0,
19/09/2002,Chelsea,Viking,2.0,1.0,
19/09/2002,Hajduk Split,Fulham,0.0,1.0,
19/09/2002,Ipswich,Smederevo,1.0,1.0,
19/09/2002,Leeds,Metalurh Zaporizhya,1.0,0.0,
03/10/2002,CSKA Sofia,Blackburn,3.0,3.0,
03/10/2002,Fulham,Hajduk Split,2.0,2.0,
03/10/2002,Metalurh Zaporizhya,Leeds,1.0,1.0,
03/10/2002,Smederevo,Ipswich,0.0,1.0,
03/10/2002,Viking,Chelsea,4.0,2.0,
31/10/2002,Celtic,Blackburn,1.0,0.0,
31/10/2002,Dinamo Zagreb,Fulham,0.0,3.0,
31/10/2002,Ipswich,Slovan Liberec,1.0,0.0,
31/10/2002,Leeds,Hapoel Tel Aviv,1.0,0.0,
14/11/2002,Blackburn,Celtic,0.0,2.0,
14/11/2002,Fulham,Dinamo Zagreb,2.0,1.0,
14/11/2002,Hapoel Tel Aviv,Leeds,1.0,4.0,
14/11/2002,Slovan Liberec,Ipswich,1.0,0.0,
26/11/2002,Hertha BSC,Fulham,2.0,1.0,
28/11/2002,Málaga,Leeds,0.0,0.0,
28/11/2002,Vitesse,Liverpool,0.0,1.0,
12/12/2002,Fulham,Hertha BSC,0.0,0.0,
12/12/2002,Leeds,Málaga,1.0,2.0,
12/12/2002,Liverpool,Vitesse,1.0,0.0,
20/02/2003,Auxerre,Liverpool,0.0,1.0,
27/02/2003,Liverpool,Auxerre,2.0,0.0,
13/03/2003,Celtic,Liverpool,1.0,1.0,
20/03/2003,Liverpool,Celtic,0.0,2.0,
24/09/2003,Gençlerbirliği,Blackburn,3.0,1.0,
24/09/2003,Man City,Lokeren,3.0,2.0,
24/09/2003,NK Olimpija Ljubljana,Liverpool,1.0,1.0,
24/09/2003,Newcastle,NAC Breda,5.0,0.0,
24/09/2003,Southampton,Steaua,1.0,1.0,
15/10/2003,Blackburn,Gençlerbirliği,1.0,1.0,
15/10/2003,Liverpool,NK Olimpija Ljubljana,3.0,0.0,
15/10/2003,Lokeren,Man City,0.0,1.0,
15/10/2003,NAC Breda,Newcastle,0.0,1.0,
15/10/2003,Steaua,Southampton,1.0,0.0,
06/11/2003,Basel,Newcastle,2.0,3.0,
06/11/2003,Man City,Dyskobolia,1.0,1.0,
06/11/2003,Steaua,Liverpool,1.0,1.0,
27/11/2003,Dyskobolia,Man City,0.0,0.0,
27/11/2003,Liverpool,Steaua,1.0,0.0,
27/11/2003,Newcastle,Basel,1.0,0.0,
26/02/2004,Liverpool,Levski Sofia,2.0,0.0,
26/02/2004,Vålerenga,Newcastle,1.0,1.0,
03/03/2004,Levski Sofia,Liverpool,2.0,4.0,
03/03/2004,Newcastle,Vålerenga,3.0,1.0,
11/03/2004,Liverpool,Marseille,1.0,1.0,
11/03/2004,Newcastle,Mallorca,4.0,1.0,
25/03/2004,Mallorca,Newcastle,0.0,3.0,
25/03/2004,Marseille,Liverpool,2.0,1.0,
08/04/2004,PSV Eindhoven,Newcastle,1.0,1.0,
14/04/2004,Newcastle,PSV Eindhoven,2.0,1.0,
22/04/2004,Newcastle,Marseille,0.0,0.0,
06/05/2004,Marseille,Newcastle,2.0,0.0,
16/09/2004,Middlesbrough,Baník Ostrava,3.0,0.0,
16/09/2004,Newcastle,Bnei Sakhnin FC,2.0,0.0,
30/09/2004,Baník Ostrava,Middlesbrough,1.0,1.0,
30/09/2004,Bnei Sakhnin FC,Newcastle,1.0,5.0,
21/10/2004,Egaleo,Middlesbrough,0.0,1.0,
21/10/2004,Panionios,Newcastle,0.0,1.0,
04/11/2004,Middlesbrough,Lazio,2.0,0.0,
04/11/2004,Newcastle,Dinamo Tbilisi,2.0,0.0,
25/11/2004,Sochaux,Newcastle,0.0,4.0,
25/11/2004,Villarreal,Middlesbrough,2.0,0.0,
15/12/2004,Middlesbrough,Partizan,3.0,0.0,
16/12/2004,Newcastle,Sporting CP,1.0,1.0,
17/02/2005,Grazer AK,Middlesbrough,2.0,2.0,
17/02/2005,Heerenveen,Newcastle,1.0,2.0,
24/02/2005,Middlesbrough,Grazer AK,2.0,1.0,
24/02/2005,Newcastle,Heerenveen,2.0,1.0,
10/03/2005,Middlesbrough,Sporting CP,2.0,3.0,
10/03/2005,Olympiacos,Newcastle,1.0,3.0,
16/03/2005,Newcastle,Olympiacos,4.0,0.0,
17/03/2005,Sporting CP,Middlesbrough,1.0,0.0,
07/04/2005,Newcastle,Sporting CP,1.0,0.0,
14/04/2005,Sporting CP,Newcastle,4.0,1.0,
15/09/2005,Bolton,Lokomotiv Plovdiv,2.0,1.0,
15/09/2005,Dinamo București,Everton,5.0,1.0,
15/09/2005,Middlesbrough,Skoda Xanthi,2.0,0.0,
29/09/2005,Everton,Dinamo București,1.0,0.0,
29/09/2005,Lokomotiv Plovdiv,Bolton,1.0,2.0,
29/09/2005,Skoda Xanthi,Middlesbrough,0.0,0.0,
20/10/2005,Beşiktaş,Bolton,1.0,1.0,
20/10/2005,Grasshopper,Middlesbrough,0.0,1.0,
03/11/2005,Bolton,Zenit,1.0,0.0,
03/11/2005,Middlesbrough,Dnipro,3.0,0.0,
24/11/2005,AZ Alkmaar,Middlesbrough,0.0,0.0,
24/11/2005,Vitória,Bolton,1.0,0.0,
14/12/2005,Bolton,Sevilla,1.0,1.0,
15/12/2005,Middlesbrough,Litex Lovech,2.0,0.0,
15/02/2006,Bolton,Marseille,0.0,0.0,
16/02/2006,Stuttgart,Middlesbrough,1.0,2.0,
23/02/2006,Marseille,Bolton,2.0,1.0,
23/02/2006,Middlesbrough,Stuttgart,0.0,1.0,
09/03/2006,Middlesbrough,Roma,1.0,0.0,
15/03/2006,Roma,Middlesbrough,2.0,1.0,
30/03/2006,Basel,Middlesbrough,2.0,0.0,
06/04/2006,Middlesbrough,Basel,4.0,1.0,
20/04/2006,Steaua,Middlesbrough,1.0,0.0,
27/04/2006,Middlesbrough,Steaua,4.0,2.0,
10/05/2006,Middlesbrough,Sevilla,0.0,4.0,
14/09/2006,Levadia Tallinn,Newcastle,0.0,1.0,
14/09/2006,RB Salzburg,Blackburn,2.0,2.0,
14/09/2006,Slavia Prague,Tottenham,0.0,1.0,
14/09/2006,West Ham,Palermo,0.0,1.0,
28/09/2006,Blackburn,RB Salzburg,2.0,0.0,
28/09/2006,Newcastle,Levadia Tallinn,2.0,1.0,
28/09/2006,Palermo,West Ham,3.0,0.0,
28/09/2006,Tottenham,Slavia Prague,1.0,0.0,
19/10/2006,Beşiktaş,Tottenham,0.0,2.0,
19/10/2006,Newcastle,Fenerbahçe,1.0,0.0,
19/10/2006,Wisła Kraków,Blackburn,1.0,2.0,
02/11/2006,Blackburn,Basel,3.0,0.0,
02/11/2006,Palermo,Newcastle,0.0,1.0,
02/11/2006,Tottenham,Club Brugge,3.0,1.0,
23/11/2006,Feyenoord,Blackburn,0.0,0.0,
23/11/2006,Leverkusen,Tottenham,0.0,1.0,
23/11/2006,Newcastle,Celta Vigo,2.0,1.0,
30/11/2006,Eint Frankfurt,Newcastle,0.0,0.0,
13/12/2006,Blackburn,Nancy,1.0,0.0,
14/12/2006,Tottenham,Dinamo,3.0,1.0,
14/02/2007,Leverkusen,Blackburn,3.0,2.0,
15/02/2007,Zulte Waregem,Newcastle,1.0,3.0,
22/02/2007,Blackburn,Leverkusen,0.0,0.0,
22/02/2007,Newcastle,Zulte Waregem,1.0,0.0,
08/03/2007,Braga,Tottenham,2.0,3.0,
08/03/2007,Newcastle,AZ Alkmaar,4.0,2.0,
14/03/2007,Tottenham,Braga,3.0,2.0,
15/03/2007,AZ Alkmaar,Newcastle,2.0,0.0,
05/04/2007,Sevilla,Tottenham,2.0,1.0,
12/04/2007,Tottenham,Sevilla,2.0,2.0,
20/09/2007,Everton,Metalist Kharkiv,1.0,1.0,
20/09/2007,FK Rabotnički,Bolton,1.0,1.0,
20/09/2007,Larissa,Blackburn,2.0,0.0,
20/09/2007,Tottenham,Anorthosis,6.0,1.0,
04/10/2007,Anorthosis,Tottenham,1.0,1.0,
04/10/2007,Blackburn,Larissa,2.0,1.0,
04/10/2007,Bolton,FK Rabotnički,1.0,0.0,
04/10/2007,Metalist Kharkiv,Everton,2.0,3.0,
25/10/2007,Bolton,Braga,1.0,1.0,
25/10/2007,Everton,Larissa,3.0,1.0,
25/10/2007,Tottenham,Getafe,1.0,2.0,
08/11/2007,Bayern Munich,Bolton,2.0,2.0,
08/11/2007,Hapoel Tel Aviv,Tottenham,0.0,2.0,
08/11/2007,Nürnberg,Everton,0.0,2.0,
29/11/2007,Bolton,Aris,1.0,1.0,
29/11/2007,Tottenham,Aalborg,3.0,2.0,
05/12/2007,Everton,Zenit,1.0,0.0,
06/12/2007,Anderlecht,Tottenham,1.0,1.0,
06/12/2007,Red Star,Bolton,0.0,1.0,
20/12/2007,AZ Alkmaar,Everton,2.0,3.0,
13/02/2008,Brann,Everton,0.0,2.0,
14/02/2008,Bolton,Atlético Madrid,1.0,0.0,
14/02/2008,Slavia Prague,Tottenham,1.0,2.0,
21/02/2008,Atlético Madrid,Bolton,0.0,0.0,
21/02/2008,Everton,Brann,6.0,1.0,
21/02/2008,Tottenham,Slavia Prague,1.0,1.0,
06/03/2008,Bolton,Sporting CP,1.0,1.0,
06/03/2008,Fiorentina,Everton,2.0,0.0,
06/03/2008,Tottenham,PSV Eindhoven,0.0,1.0,
12/03/2008,Everton,Fiorentina,2.0,0.0,
12/03/2008,PSV Eindhoven,Tottenham,0.0,1.0,
13/03/2008,Sporting CP,Bolton,1.0,0.0,
18/09/2008,AC Omonia,Man City,1.0,2.0,
18/09/2008,Everton,Standard Liège,2.0,2.0,
18/09/2008,Litex Lovech,Aston Villa,1.0,3.0,
18/09/2008,Portsmouth,Vitória,2.0,0.0,
18/09/2008,Tottenham,Wisła Kraków,2.0,1.0,
02/10/2008,Aston Villa,Litex Lovech,1.0,1.0,
02/10/2008,Man City,AC Omonia,2.0,1.0,
02/10/2008,Standard Liège,Everton,2.0,1.0,
02/10/2008,Vitória,Portsmouth,2.0,2.0,
02/10/2008,Wisła Kraków,Tottenham,1.0,1.0,
23/10/2008,Aston Villa,Ajax,2.0,1.0,
23/10/2008,Braga,Portsmouth,3.0,0.0,
23/10/2008,Udinese,Tottenham,2.0,0.0,
06/11/2008,Man City,Twente,3.0,2.0,
06/11/2008,Slavia Prague,Aston Villa,0.0,1.0,
06/11/2008,Tottenham,Dinamo Zagreb,4.0,0.0,
27/11/2008,NEC Nijmegen,Tottenham,0.0,1.0,
27/11/2008,Portsmouth,Milan,2.0,2.0,
27/11/2008,Schalke 04,Man City,0.0,2.0,
03/12/2008,Man City,Paris S-G,0.0,0.0,
04/12/2008,Aston Villa,MŠK Žilina,1.0,2.0,
04/12/2008,Wolfsburg,Portsmouth,3.0,2.0,
17/12/2008,Hamburger SV,Aston Villa,3.0,1.0,
17/12/2008,Portsmouth,Heerenveen,3.0,0.0,
18/12/2008,Racing Sant,Man City,3.0,1.0,
18/12/2008,Tottenham,Spartak Moscow,2.0,2.0,
18/02/2009,Aston Villa,CSKA Moscow,1.0,1.0,
19/02/2009,FC Copenhagen,Man City,2.0,2.0,
19/02/2009,Shakhtar,Tottenham,2.0,0.0,
26/02/2009,CSKA Moscow,Aston Villa,2.0,0.0,
26/02/2009,Man City,FC Copenhagen,2.0,1.0,
26/02/2009,Tottenham,Shakhtar,1.0,1.0,
12/03/2009,Man City,Aalborg,2.0,0.0,
19/03/2009,Aalborg,Man City,2.0,0.0,
09/04/2009,Hamburger SV,Man City,3.0,1.0,
16/04/2009,Man City,Hamburger SV,2.0,1.0,
17/09/2009,CSKA Sofia,Fulham,1.0,1.0,
17/09/2009,Everton,AEK Athens,4.0,0.0,
01/10/2009,BATE Borisov,Everton,1.0,2.0,
01/10/2009,Fulham,Basel,1.0,0.0,
22/10/2009,Benfica,Everton,5.0,0.0,
22/10/2009,Fulham,Roma,1.0,1.0,
05/11/2009,Everton,Benfica,0.0,2.0,
05/11/2009,Roma,Fulham,2.0,1.0,
02/12/2009,AEK Athens,Everton,0.0,1.0,
03/12/2009,Fulham,CSKA Sofia,1.0,0.0,
16/12/2009,Basel,Fulham,2.0,3.0,
17/12/2009,Everton,BATE Borisov,0.0,1.0,
16/02/2010,Everton,Sporting CP,2.0,1.0,
18/02/2010,Fulham,Shakhtar,2.0,1.0,
18/02/2010,Liverpool,Unirea Urziceni,1.0,0.0,
25/02/2010,Shakhtar,Fulham,1.0,1.0,
25/02/2010,Sporting CP,Everton,3.0,0.0,
25/02/2010,Unirea Urziceni,Liverpool,1.0,3.0,
11/03/2010,Juventus,Fulham,3.0,1.0,
11/03/2010,Lille,Liverpool,1.0,0.0,
18/03/2010,Fulham,Juventus,4.0,1.0,
18/03/2010,Liverpool,Lille,3.0,0.0,
01/04/2010,Benfica,Liverpool,2.0,1.0,
01/04/2010,Fulham,Wolfsburg,2.0,1.0,
08/04/2010,Liverpool,Benfica,4.0,1.0,
08/04/2010,Wolfsburg,Fulham,0.0,1.0,
22/04/2010,Atlético Madrid,Liverpool,1.0,0.0,
22/04/2010,Hamburger SV,Fulham,0.0,0.0,
29/04/2010,Fulham,Hamburger SV,2.0,1.0,
29/04/2010,Liverpool,Atlético Madrid,2.0,1.0,
12/05/2010,Atlético Madrid,Fulham,2.0,1.0,
16/09/2010,Liverpool,Steaua,4.0,1.0,
16/09/2010,RB Salzburg,Man City,0.0,2.0,
30/09/2010,Man City,Juventus,1.0,1.0,
30/09/2010,Utrecht,Liverpool,0.0,0.0,
21/10/2010,Man City,Lech Poznań,3.0,1.0,
21/10/2010,Napoli,Liverpool,0.0,0.0,
04/11/2010,Lech Poznań,Man City,3.0,1.0,
04/11/2010,Liverpool,Napoli,3.0,1.0,
01/12/2010,Man City,RB Salzburg,3.0,0.0,
02/12/2010,Steaua,Liverpool,1.0,1.0,
15/12/2010,Liverpool,Utrecht,0.0,0.0,
16/12/2010,Juventus,Man City,1.0,1.0,
15/02/2011,Aris,Man City,0.0,0.0,
17/02/2011,Sparta Prague,Liverpool,0.0,0.0,
24/02/2011,Liverpool,Sparta Prague,1.0,0.0,
24/02/2011,Man City,Aris,3.0,0.0,
10/03/2011,Braga,Liverpool,1.0,0.0,
10/03/2011,Dynamo Kyiv,Man City,2.0,0.0,
17/03/2011,Liverpool,Braga,0.0,0.0,
17/03/2011,Man City,Dynamo Kyiv,1.0,0.0,
15/09/2011,Birmingham,Braga,1.0,3.0,
15/09/2011,Dynamo Kyiv,Stoke,1.0,1.0,
15/09/2011,Fulham,Twente,1.0,1.0,
15/09/2011,PAOK,Tottenham,0.0,0.0,
29/09/2011,NK Maribor,Birmingham,1.0,2.0,
29/09/2011,Odense,Fulham,0.0,2.0,
29/09/2011,Stoke,Beşiktaş,2.0,1.0,
29/09/2011,Tottenham,Shamrock Rov,3.0,1.0,
20/10/2011,Club Brugge,Birmingham,1.0,2.0,
20/10/2011,Stoke,Maccabi Tel Aviv,3.0,0.0,
20/10/2011,Tottenham,Rubin Kazan,1.0,0.0,
20/10/2011,Wisła Kraków,Fulham,1.0,0.0,
03/11/2011,Birmingham,Club Brugge,2.0,2.0,
03/11/2011,Fulham,Wisła Kraków,4.0,1.0,
03/11/2011,Maccabi Tel Aviv,Stoke,1.0,2.0,
03/11/2011,Rubin Kazan,Tottenham,1.0,0.0,
30/11/2011,Braga,Birmingham,1.0,0.0,
30/11/2011,Tottenham,PAOK,1.0,2.0,
01/12/2011,Stoke,Dynamo Kyiv,1.0,1.0,
